ban,tipo_cliente,canal_contato,tentativas_contato,texto,urgencia,valor_mensalidade,dias_atraso,valor_total_divida,historico_pagamento,estado,data_chamado
000007084,Pessoa Física,Chat,3,segunda via do boleto.,Baixa,156.03,8,205.88,bom,PR,2025-05-24T01:15:00.670261
000007547,Pessoa Física,Telefone,3,quero negociar.,Média,54.87,54,168.27,bom,MT,2024-10-11T15:25:35.799722
000003867,Pessoa Física,Telefone,2,quero negociar.,Média,28.19,62,125.81,ruim,AM,2025-01-10T23:01:45.592034
000003089,Pessoa Física,Chat,4,quero negociar.,Média,154.04,34,681.13,ruim,PA,2024-12-23T00:48:00.336128
000009242,Pessoa Física,Telefone,4,preciso de um desconto.,Média,137.98,87,455.32,regular,MT,2025-06-28T11:55:05.676973
000004885,Pessoa Física,Telefone,1,dúvida sobre a fatura. muito obrigado,Baixa,76.06,16,191.68,bom,RS,2025-06-06T15:58:25.075940
000009531,Pessoa Física,Telefone,1,consulta de valores. o mais rápido possível,Baixa,129.77,18,135.01,bom,AM,2025-08-24T08:49:13.082656
000006632,Pessoa Física,Chat,2,proposta de pagamento.,Média,98.34,37,220.84,bom,RJ,2024-11-03T06:16:23.789435
000007275,Pessoa Física,Email,2,segunda via do boleto. o mais rápido possível,Baixa,112.83,15,559.55,regular,SP,2025-03-05T14:39:13.476448
000004244,Pessoa Física,Telefone,3,quero negociar.,Média,109.27,12,426.8,ruim,PA,2024-10-13T09:23:00.987341
000005423,Pessoa Jurídica,Email,3,parcelamento da dívida.,Média,66.77,20,258.42,ruim,MG,2024-12-21T08:42:58.850452
000005583,Pessoa Física,Telefone,2,preciso de um desconto.,Média,156.04,22,631.08,ruim,CE,2025-04-05T02:00:41.412882
000006659,Pessoa Física,Chat,2,preciso de informação.,Baixa,77.64,29,270.22,bom,SP,2024-10-12T04:47:46.589818
000006382,Pessoa Física,Telefone,2,preciso de informação.,Baixa,123.71,23,413.62,bom,MS,2024-12-14T03:09:05.249579
000005887,Pessoa Jurídica,Telefone,1,consulta de valores.,Baixa,146.08,28,411.14,bom,RS,2025-05-27T20:55:09.633517
000000551,Pessoa Física,Telefone,1,dúvida sobre a fatura.,Baixa,86.8,23,240.93,bom,SP,2025-04-19T13:00:52.438845
000004197,Pessoa Física,Telefone,2,segunda via do boleto.,Baixa,109.01,14,488.73,regular,PR,2024-12-22T00:31:04.513414
000006141,Pessoa Física,Telefone,4,proposta de pagamento.,Média,99.65,4,256.48,ruim,MA,2025-05-05T17:32:59.619931
000009462,Pessoa Física,Chat,1,preciso de um desconto.,Média,188.98,32,824.17,bom,PB,2025-07-25T03:27:41.231742
000007555,Pessoa Jurídica,Telefone,1,proposta de pagamento.,Média,156.6,2,681.36,ruim,PR,2024-10-04T21:09:17.643488
000006644,Pessoa Física,Redes Sociais,6,não consigo pagar,Alta,150.39,97,614.13,bom,SP,2025-07-23T19:48:23.393806
000001810,Pessoa Física,Email,2,renegociar valores. o mais rápido possível,Média,208.42,36,239.8,regular,MT,2025-06-14T11:54:38.578843
000003345,Pessoa Física,Telefone,4,consulta de valores.,Baixa,134.08,23,213.44,regular,TO,2025-02-03T18:44:33.723622
000002789,Pessoa Física,Chat,2,renegociar valores.,Média,106.56,68,240.7,bom,SP,2024-11-28T07:05:03.528972
000004932,Pessoa Jurídica,Chat,1,preciso de informação.,Baixa,62.41,20,273.99,regular,SP,2025-09-17T02:53:18.215378
000008285,Pessoa Física,Chat,4,dúvida sobre a fatura,Baixa,92.02,3,413.45,bom,PE,2025-02-02T10:41:43.199159
000000728,Pessoa Física,Chat,4,dúvida sobre a fatura,Baixa,126.37,17,147.38,bom,RS,2024-11-05T09:10:34.094645
